trimmed_line,is_title,title,index,abstract,article_type,authors,document_type,issue,place_ofpublication,date,pubtitle,year,volume
12. letters,TRUE,letters,11,NA,Newspapers,"Davis, Andrew",Interview,8,"Chicago, Ill.","Jan 8, 2020",Windy City Times,2020,35
13. Credits,TRUE,Credits,12,NA,Newspapers,"Rio, Linda",General Information,1,"Chicago, Ill.","Oct 2, 2019",Windy City Times,2019,35
14. Youth group hosts gender-expansive services symposium,TRUE,Youth group hosts gender-expansive services symposium,13,NA,Newspapers,Anonymous,Credits,1,"Chicago, Ill.","Oct 2, 2019",Windy City Times,2019,35
15. Pritzker names Bennett new state human-rights director,TRUE,Pritzker names Bennett new state human-rights director,14,NA,Newspapers,"Maxwell, Carrie",News,27,"Chicago, Ill.","May 22, 2019",Windy City Times,2019,34
"16. Chicago writer explores feminist accountability, transformative justice",TRUE,"Chicago writer explores feminist accountability, transformative justice",15,NA,Newspapers,Anonymous,News,19,"Chicago, Ill.","Jan 30-Feb 12, 2019",Windy City Times,2019,34
17. BILLY Masters,TRUE,BILLY Masters,16,NA,Newspapers,"Dewey, Charlsie",Feature,19,"Chicago, Ill.","Jan 30-Feb 12, 2019",Windy City Times,2019,34
18. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,17,NA,Newspapers,"Masters, Billy",Commentary,12,"Chicago, Ill.","Dec 5, 2018",Windy City Times,2018,34
"19. Bishop Phyllis V. Pennese on leadership, 15-year anniversary",TRUE,"Bishop Phyllis V. Pennese on leadership, 15-year anniversary",18,NA,Newspapers,Anonymous,General Information,4,"Chicago, Ill.","Oct 10, 2018",Windy City Times,2018,34
20. Panel focuses on LGBTQ domestic violence stigmas,TRUE,Panel focuses on LGBTQ domestic violence stigmas,19,NA,Newspapers,"Maxwell, Carrie",News,4,"Chicago, Ill.","Oct 10, 2018",Windy City Times,2018,34
21. Table of contents,TRUE,Table of contents,20,NA,Newspapers,"Maxwell, Carrie",News,4,"Chicago, Ill.","Oct 10, 2018",Windy City Times,2018,34
22. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,21,NA,Newspapers,Anonymous,Table Of Contents,4,"Chicago, Ill.","Oct 10, 2018",Windy City Times,2018,34
"23. Immigrants, officials criticize Rauner vetoes",TRUE,"Immigrants, officials criticize Rauner vetoes",22,NA,Newspapers,Anonymous,General Information,3,"Chicago, Ill.","Oct 3, 2018",Windy City Times,2018,34
24. Making no small plans: Marcia Lipetz has died,TRUE,Making no small plans: Marcia Lipetz has died,23,NA,Newspapers,Anonymous,News,2,"Chicago, Ill.","Sep 26, 2018",Windy City Times,2018,34
25. Artemisia Fest fights for femme presentation,TRUE,Artemisia Fest fights for femme presentation,24,NA,Newspapers,"Baim, Tracy",Obituary,1,"Chicago, Ill.","Sep 19, 2018",Windy City Times,2018,34
26. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,25,NA,Newspapers,"Sullivan, Catey",Feature,1,"Chicago, Ill.","Sep 19, 2018",Windy City Times,2018,34
27. The violence never stops: 16 trans murders already in 2018,TRUE,The violence never stops: 16 trans murders already in 2018,26,NA,Newspapers,Anonymous,General Information,50,"Chicago, Ill.","Aug 29, 2018",Windy City Times,2018,33
28. Dishing with Christine Ebersole and Seth Rudetsky,TRUE,Dishing with Christine Ebersole and Seth Rudetsky,27,NA,Newspapers,"Sprayregen, Molly",Commentary,46,"Chicago, Ill.","Aug 1, 2018",Windy City Times,2018,33
29. Wachowski exhibit featured at Rush's Pride reception,TRUE,Wachowski exhibit featured at Rush's Pride reception,28,NA,Newspapers,"Sullivan, Catey",Performance Review,45,"Chicago, Ill.","Jul 25, 2018",Windy City Times,2018,33
30. 19TH ANNUAL 30 UNDER THIRTY HONORS,TRUE,19TH ANNUAL 30 UNDER THIRTY HONORS,29,NA,Newspapers,"Maxwell, Carrie",Feature,41,"Chicago, Ill.","Jun 27, 2018",Windy City Times,2018,33
31. Getting to know American Beauty Show's Paul Dykstra,TRUE,Getting to know American Beauty Show's Paul Dykstra,30,NA,Newspapers,Anonymous,Feature,40,"Chicago, Ill.","Jun 20, 2018",Windy City Times,2018,33
32. Black women anti-rape advocates unite at UIC,TRUE,Black women anti-rape advocates unite at UIC,31,NA,Newspapers,"Maxwell, Carrie",Feature,31,"Chicago, Ill.","Apr 18, 2018",Windy City Times,2018,33
33. Advocate recounts challenges facing women with HIV,TRUE,Advocate recounts challenges facing women with HIV,32,NA,Newspapers,"Baudler, Liz",News,31,"Chicago, Ill.","Apr 18, 2018",Windy City Times,2018,33
34. Record number of LGBTs running in March Illinois primary election,TRUE,Record number of LGBTs running in March Illinois primary election,33,NA,Newspapers,"Simonette, Matt",News,30,"Chicago, Ill.","Apr 11, 2018",Windy City Times,2018,33
35. Brad Trowbridge: Activist again takes aim at judicial post,TRUE,Brad Trowbridge: Activist again takes aim at judicial post,34,"Daniel Foster Race: Cook County Board of Commissioners (13th District) Website: https://commissionerfoster.com The skinny: A current resident of Skokie, Foster was raised in Evanston and Wilmette, and obtained his BS in mathematics and computer science from the University of Illinois at Chicago. Prior to the bench, Roberts was a hearing officer for the Cook County Circuit Court and assistant corporation counsel for the Chicago Law Department. - Underhill has been a member of the Chicago Bar Association Judicial Evaluation Committee and is a former president of the Northern Illinois University Alumni Council. -",Newspapers,Anonymous,Feature,26,"Chicago, Ill.","Mar 14, 2018",Windy City Times,2018,33
36. Record number of LGBTs running in March Illinois primary election,TRUE,Record number of LGBTs running in March Illinois primary election,35,"Horizons [the predecessor of Center on Halsted] rented office space from the counseling center, taking over the space at night. The person who provided services to those suffering domestic violence had just left, and my supervisor asked if I'd be interested in this. [...]that's not to say that a judge can't have a sensitivity to issues; for example, I might recognize that there's more to the story of a woman who's been battered.",Newspapers,"Davis, Andrew",Interview,25,"Chicago, Ill.","Mar 7, 2018",Windy City Times,2018,33
37. Southern Gothic,TRUE,Southern Gothic,36,"Daniel Foster Race: Cook County Board of Commissioners (13th District) Website: https://commissionerfoster.com The skinny: A current resident of Skokie, Foster was raised in Evanston and Wilmette, and obtained his BS in mathematics and computer science from the University of Illinois at Chicago. Prior to the bench, Roberts was a hearing officer for the Cook County Circuit Court and assistant corporation counsel for the Chicago Law Department. - Underhill has been a member of the Chicago Bar Association Judicial Evaluation Committee and is a former president of the Northern Illinois University Alumni Council. -",Newspapers,Anonymous,Feature,24,"Chicago, Ill.","Feb 28, 2018",Windy City Times,2018,33
38. Record number of LGBTs running in March Illinois primary election,TRUE,Record number of LGBTs running in March Illinois primary election,37,"(Furnishings include window benches for playgoers of stationary bent, but since the intrigue will be spread over the entire landscape, couples may want to part.) The occasion is the 40th birthday of Mrs. Suzanne Wellington, the hosts are in-laws Ellie and Beau, attended by the guest-of-honor's husband Jackson, local politician Charles and wife Lauren, trustfund playboy Tucker and current consort Cassie (who, as a shocked matron gasps, ""looks like Lena Horne""). Before the cake appears, we will bear witness to hints of past crimes, some linked to their time and place (out-of-wedlock pregnancy, marijuana consumption), some still evident today (embezzlement, adultery, domestic abuse).",Newspapers,"Barnidge, Mary Shen",Theater Review,24,"Chicago, Ill.","Feb 28, 2018",Windy City Times,2018,33
"39. MCC elder talks Cajun roots, faith and lesbian polyamorous relationship",TRUE,"MCC elder talks Cajun roots, faith and lesbian polyamorous relationship",38,"Daniel Foster Race: Cook County Board of Commissioners (13th District) Website: https://commissionerfoster.com The skinny: A current resident of Skokie, Foster was raised in Evanston and Wilmette, and obtained his BS in mathematics and computer science from the University of Illinois at Chicago. Prior to the bench, Roberts was a hearing officer for the Cook County Circuit Court and assistant corporation counsel for the Chicago Law Department. - Underhill has been a member of the Chicago Bar Association Judicial Evaluation Committee and is a former president of the Northern Illinois University Alumni Council. -",Newspapers,Anonymous,Feature,17,"Chicago, Ill.","Jan 10, 2018",Windy City Times,2018,33
40. My Black lesbian body is a target for police brutality,TRUE,My Black lesbian body is a target for police brutality,39,"After Brown graduated, she worked at radio stations with many formats including contemporary Christian, alternative rock and at NPR (mostly in Missouri) where her duties included doing public speaking engagements and covering concerts and festivals. MCC celebrates queer holy days, including honoring significant persons and events such as Transgender Day of Remembrance, World AIDS Day, IDAHO/T, Pride, National Coming Out Day and other specific cultural days or months. ""While I was the interim pastor of aChurch4Me MCC in the Rogers Park neighborhood, it was such an honor to serve such a diverse, artistic and spiritual community of faith,"" said Brown.",Newspapers,"Maxwell, Carrie",News,13,"Chicago, Ill.","Dec 13, 2017",Windy City Times,2017,33
41. Credits,TRUE,Credits,40,"Because of maltreatment in jail, in 2014 James become a delegate to testify before the Committee Against Torture (CAT) at Geneva Switzerland. The over-policing of women of color is due to gang violence, the war on drugs, war on terrorism, Islamophobia, poverty, sex trade, domestic violence and mental health, to name a few. According to a 2016 investigation by the Buffalo News, a police officer, on average, is caught in the act of sexual misconduct every five days.",Newspapers,"Monroe, Irene",Commentary,12,"Chicago, Ill.","Dec 6, 2017",Windy City Times,2017,33
"42. NCAVP, HRC/TPOCC release reports on anti-trans violence",TRUE,"NCAVP, HRC/TPOCC release reports on anti-trans violence",41,NA,Newspapers,Anonymous,Credits,12,"Chicago, Ill.","Dec 6, 2017",Windy City Times,2017,33
43. Judge Nancy Katz reflects on career,TRUE,Judge Nancy Katz reflects on career,42,"The National Coalition of Anti-Violence Programs (NCAVP) has released the report ""Lesbian, Gay, Bisexual, Transgender, Queer and HIV-Affected Intimate Partner Violence in 2016."" (Chicago's Center on Halsted was the Illinois representative.) Among the results are: -LGBTQ and HIV-affected people of color made up 60 percent of the reports of IPV homicides, and 59 percent of the total number of survivors who reported to NCAVP members in 2016; -Transgender women were 2.5 times more likely to be stalked, 2.5 times more likely to experience financial violence, and twice as likely to experience online harassment within IPV; and -There was an increase in the percentage of survivors who identified as Latinx from 24 percent in 2015 to 30 percent in 2016. [...]the Human Rights Campaign (HRC) Foundation and the Trans People of Color Coalition (TPOCC) have released ""A Time to Act: Fatal Violence Against Transgender People in America in 2017."" Since the start of the year, at least 25 transgender people have been killed in the United States-the most on record.",Newspapers,Anonymous,News,10,"Chicago, Ill.","Nov 22, 2017",Windy City Times,2017,33
44. Housing-rights activists protest Cappleman's office,TRUE,Housing-rights activists protest Cappleman's office,43,"Judge Nancy Katz-recently retired from the Cook County Circuit Court and the first openly lesbian judge there-said that judges have an important role to play in bringing about social change. Among her community-service accomplishments were posts on the board of the Lesbian and Gay Bar Association of Chicago, the former Chicago Commission on Human Relations' Advisory Council on Gay and Lesbian Issues, and Cook County Hospital's Women and Children with AIDS Project advisory board. In June 2017, she was awarded the Community Leadership Award by Illinois State Bar Association's standing committee on sexual orientation and gender identity.",Newspapers,"Simonette, Matt",Feature,3,"Chicago, Ill.","Oct 4, 2017",Windy City Times,2017,33
45. Legal specialist talks about aspects of criminal-justice system,TRUE,Legal specialist talks about aspects of criminal-justice system,44,"A statement released by Cappleman's office said that, ""Alderman Cappleman and the city's Department of Family and Support Seivices have been taking action to help those who had been living beneath the Wilson and Lawience viaducts access food, shelteľ, mental health seivices, addiction treatment and medical care."" Aldeiman Cappleman and the city's Department of Family and Support Services have been taking action to help those who had been living beneath the Wilson and Lawrence viaducts access food, shelter, mental health services, addiction treatment and medical care. Recent actions have included: - Hosting a Sept. 8 event next to the viaducts where those living below the viaducts were connected with multiple providers, including emergency shelters, mental health and substance abuse treatment centers and medical care; - DFSS visits to the viaduct three times a week for the past 18 months; - Providing placement in shelters including Northside, Cornerstone and Pacific Garden Mission; - Locating permanent housing for 53 people, bridge housing-an intermediate step to permanent housing, but not a shelter-for 21 people, and shelter for five people in the past 18 months.",Newspapers,"Simonette, Matt",News,2,"Chicago, Ill.","Sep 27, 2017",Windy City Times,2017,33
46. Sidetrack’s OUTspoken! Series: July’s featured storytellers,TRUE,Sidetrack’s OUTspoken! Series: July’s featured storytellers,45,"Throughout college I volunteered at different sexual assault, domestic violence and immigration agencies. [...]much-about two thirds of my current case load is around domestic-violence and sexual-assault cases, and the other third is everything else. There is also a huge need for domesticiolence and sexual-assault support in the queer community because stigmas and fear make these topics unspeakable, when in fact, these issues are just as prevalent among LGBT people.",Newspapers,"Tanaschuk, Emagin",Interview,51,"Chicago, Ill.","Sep 6, 2017",Windy City Times,2017,32
47. 18TH ANNUAL THIRTY UNDER 30 HONORS,TRUE,18TH ANNUAL THIRTY UNDER 30 HONORS,46,"Dati sits on the board of directors for Break The Silence Foundation, a local domestic violence organization. Center on Halsted, Teach Antibullying, Inc., Dreamcatchers for Abused Children, The National Association of Adult Survivors of Child Abuse and RAINN. - In the US, he has been politically active with ACT-UP, Queer Nation, The Legacy Project and the American Federation of Teachers. Since 1998, he has been at Chicago State University, a university committed to social justice,...",Newspapers,NA,Feature,42,"Chicago, Ill.","Jul 5, 2017",Windy City Times,2017,32
"48. NCAVP report: 2016 deadliest year for HIV, LGBT communities",TRUE,"NCAVP report: 2016 deadliest year for HIV, LGBT communities",47,"[...]while at Adler University she worked with area PFLAG groups to expand their reach into the South Side of Chicago, and into black and brown communities. Since graduating from DePaul University in 2011, she has mentored LGBT students as an alumna. Carsen, a certified personal trainer and student at DePaul University, consulted with our program's medical and behavioral health teams as he developed BeStrong, a 10-session group in which participants develop personal wellness goals, increase their knowledge of cardiovascular and weight-training techniques, improve nutrition practices, and find peer support. A proud Chicago native, Derrick's social justice and community engagement efforts took shape during high school at Payton College Prep, where they led both the Queer-Straight Alliance and a nationally competitive policy debate team. Derrick went on to forge careers in media and communications, with reporting, commentary and news analysis that has appeared at various outlets, including NBC News, Vox, Quartz, The Root and (yes) Windy City Times. Derrick has an MSJ from the Medill School of Journalism and currently works in corporate communications for a Fortune 100 company, while pursuing creative writing projects and drafting a memoir. BEA CORDELIA Bea Cordelia, 24, is an award-winning, Chicago-bred writer, filmmaker, performance artist, actor, producer, educator and activist whose work uplifts and reimagines the narratives of transgender people. Liz also co-hosts Sappho's Salon, a monthly performance series at Women and Children First Bookstore for women, trans and non-binary artists, and has told stories herself at Outspoken, Loose Chicks and Fillet of Solo, among...",Newspapers,NA,Feature,40,"Chicago, Ill.","Jun 21, 2017",Windy City Times,2017,32
49. Patrick Dati raises voice against domestic abuse,TRUE,Patrick Dati raises voice against domestic abuse,48,"On Jun 12, the National Coalition of Anti Violence Programs (NCAVP) published its 2016 report. According to data collected nationwide throughout the coalition's 12 member programs, 2016 was the deadliest year on record for the LGBTQ Community. The report noted a 17% increase in homicides of LGBTQ people, not including the lives taken during the Pulse nightclub shooting. The NCAVP reported a total of 77 hate violence- related homicides of LGBTQ and HIV-affected people in 2016.",Newspapers,"Hammond, Gretchen Rachel",News,39,"Chicago, Ill.","Jun 14, 2017",Windy City Times,2017,32
50. Table of contents,TRUE,Table of contents,49,"Dati said the assault also led to more abusive situations, including the one with his first male partner. In 2014, he wrote his memoir, I Am Me, detailing the abuse he endured and its impacts and he began doing public speaking engagements to talk about his experiences. Dati, who lives in Chicago, regularly speaks to youth at the Center on Halstead and has previously led discussions with the Chicago Police Department on intimate partner violence and how it uniquely impacts men and LGBT victims. Denise Brown, eldest sister of the late Nicole Brown Simpson, formed The Elite Speakers Bureau in 2010 to bring awareness and provide education on domestic violence, school safety, child abuse, teen violence, elder abuse, stalking, net crimes, workplace violence, victims of crime, sexual assault, mental health &amp; wellness and more. Dati is also working on a second book, which he said is focused on the impacts of intimate partner violence and domestic violence on mental health.",Newspapers,"Dewey, Charlsie",News,37,"Chicago, Ill.","May 31, 2017",Windy City Times,2017,32
51. 'Doll Parts': Talking with Amanda Lepore,TRUE,'Doll Parts': Talking with Amanda Lepore,50,NA,Newspapers,NA,Table Of Contents,37,"Chicago, Ill.","May 31, 2017",Windy City Times,2017,32
52. IPV study taking place at NU,TRUE,IPV study taking place at NU,51,"Nightclub superstar and trans-visibility pioneer Amanda Lepore has just released her heavily illustrated and visually luscious new memoir, Doll Parts. In the book, Lepore tells the harrowing story of being a New Jersey child growing up with a mentally unstable mother and absentee father who trusts the vision she has of herself from a very young age. Amanda Lepore: Thank you! I was actually approached to write my memoir about four years ago by an...",Newspapers,"Keehnen, Owen",Interview,35,"Chicago, Ill.","May 17, 2017",Windy City Times,2017,32
53. NU conference looks at LGBT health,TRUE,NU conference looks at LGBT health,52,NA,Newspapers,NA,News,34,"Chicago, Ill.","May 10, 2017",Windy City Times,2017,32
54. LGBTQ partner violence presents unique challenges,TRUE,LGBTQ partner violence presents unique challenges,53,"Ilan H. Meyer-the Williams Distinguished Senior Scholar for Public Policy at the Williams Institute for Sexual Orientation Law and Public Policy at UCLA's School of Law-said April 29 that responses to his talks on LGBT-focused research and public policy have changed since the November elections. According to Karen Parker, director of National Institutes of Health's (NIH) Sexual and Gender Minority Research Office, in 2015, the government spent about $162 million funding about 301 research projects...",Newspapers,"Simonette, Matt",News,33,"Chicago, Ill.","May 3, 2017",Windy City Times,2017,32
55. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,54,"""Every article I'd read on LGBTQ IPV would begin with the statement, 'there's not a lot of research on this.' And after writing the book I can say, 'that's not entirely true.' There's quite a bit,'"" [Adam Messinger] told Windy City Times.",Newspapers,"Pettitt, Bronson",General Information,28,"Chicago, Ill.","Mar 29, 2017",Windy City Times,2017,32
56. A few LGBTQ concerts to watch out for,TRUE,A few LGBTQ concerts to watch out for,55,"DIFFA's 'Art for Life' benefit The Design Industries Foundation Fighting AIDS/Chicago (DIFFA/Chicago) has announced a juried art exhibit and auction is the newest extension of DIFFA Chicago, created to benefit those living with and vulnerable to HIV/AIDS. @ArtForLifeChicago and using the hashtag #AFLCHI. $100. 6:00pm Venue One, 1034 W. Randolph St. https://www.artforlifechicago.org",Newspapers,Anonymous,General Information,27,"Chicago, Ill.","Mar 22, 2017",Windy City Times,2017,32
57. BILLY Masters,TRUE,BILLY Masters,56,"In the touring concert *BTown, the Chicago Gay Men's Chorus explores all kinds of boy bands ranging from barbershop quartets to modern pop groups like *NSYNC and One Direction. The London Gay Men's Chorus is also slated to perform with the Chicago Gay Men's Chorus at 7:30 p.m. on Thursday, May 25, at a venue to be determined. (*BTown shows are at 8 p.m. on Friday, May 19, at Harris Theater for Music and Dance, 205 E. Randolph St.; 8 p.m.",Newspapers,"Morgan, Scott C",News,26,"Chicago, Ill.","Mar 15, 2017",Windy City Times,2017,32
58. Center relaunches therapy group for LGBT violence survivors,TRUE,Center relaunches therapy group for LGBT violence survivors,57,"Something that is definitely a choice is whether or not to be a whore. I don't say that in a disparaging way. After all, everybody loves a whore. If they didn't, it would be hard to earn the title. This story is an update on the whore of 2016 (and several previous decades): Logo's Prince Charming, Robert Sepulveda Jr. Brace yourself-he's single.",Newspapers,"Masters, Billy",Commentary,26,"Chicago, Ill.","Mar 15, 2017",Windy City Times,2017,32
59. Rep. Lipinski's votes on LGBT issues,TRUE,Rep. Lipinski's votes on LGBT issues,58,"RT: I supervise, recruit and train volunteers, so it's a bit more of a vetting process. It's a three-month minimum commitment because there's a lot of training on how to handle calls. You're dealing with people, oftentimes who are confused, distressed and might not even know they're distressed. People who want to help can also donate, writing ""Anti-Violence Project"" in the memo line [of a check].",Newspapers,"Smith, Angelique",Interview,26,"Chicago, Ill.","Mar 15, 2017",Windy City Times,2017,32
60. The next wave,TRUE,The next wave,59,"2006: [Dan Lipinski] voted ""present"" on a Constitutional Amendment prohibiting marriage equality. Lipinski dismissed the amendment as a Republican ploy at the time, but publicly emphasized his opposition to same-sex marriage.",Newspapers,"Simonette, Matt",News,22,"Chicago, Ill.","Feb 15, 2017",Windy City Times,2017,32
61. BILLY Masters,TRUE,BILLY Masters,60,"Politics is both national and local. The Democratic Party has always felt like a factory system, where you ""do your time"" and you get rewarded with that next open seat. That process has not created a deep pool of candidates that can speak to the people, and crush the gerrymandering attempts of the GOP.",Newspapers,"Baim, Tracy",Commentary,19,"Chicago, Ill.","Jan 25, 2017",Windy City Times,2017,32
62. Gaylon Alcaraz's radical journey,TRUE,Gaylon Alcaraz's radical journey,61,"Do you know who Nico Tortorella is? He's a kinda hot actor who appears on Younger and has come out as sexually fluid-so I guess we now have to add an F to the already cumbersome LGBTQIA; he also has a podcast called ""The Love Bomb."" A recent guest was someone who knows a thing or two about sexual fluids-gay-porn actor Colby Keller. Colby shared his coming-out story with Nico. As a kid, Keller had a box of gay porn under his bathroom sink.",Newspapers,"Masters, Billy",Commentary,18,"Chicago, Ill.","Jan 18, 2017",Windy City Times,2017,32
63. COMMUNITY CALENDAR,TRUE,COMMUNITY CALENDAR,62,"I'm a radical,"" said [Gaylon Alcaraz]. ""I'm not a traditionalist and a lot of these non-for-profit organizations are very traditional and capitalist; and that's not who I am. One of the main things that Project Fierce does is we do not take any governmental grants because of the capitalism. They brought this building out right from fundraising and I am drawn to that. That is a new way to look at the world around us. We don't need capitalism.",Newspapers,"Wasserman, Melissa",Feature,9,"Chicago, Ill.","Nov 23, 2016",Windy City Times,2016,32
64. Fused Muse brings audiences to 'Edge of Shelter',TRUE,Fused Muse brings audiences to 'Edge of Shelter',63,"Queer Genre Fiction Book Discussion Group A discussion of Breakfast On Pluto by Patrick McCabe. Bring yourself, a friend, and make few new ones. 7:00pm ^Gerber Hart Library and Archives 6500 N Clark St Chicago https://www.facebook. com/events/381222225601229/",Newspapers,Anonymous,General Information,7,"Chicago, Ill.","Nov 9, 2016",Windy City Times,2016,32
65. Dems triumph in Illinois races,TRUE,Dems triumph in Illinois races,64,"Individual YEPP members were teamed with professional musicians from Chicago,"" [Iddo Aharony] said. ""Each one created a new performative work based on life-experiences. This kind of collaborative work was new and we didn't know how or if it was going to work. Nobody knew what to expect in the first meeting where we had people of different socio-economic backgrounds, race and gender. Yet, for me, it was one of the most magical experiences I've ever had.",Newspapers,"Hammond, Gretchen Rachel",News,7,"Chicago, Ill.","Nov 9, 2016",Windy City Times,2016,32
66. 24th District incumbent faces a challenge,TRUE,24th District incumbent faces a challenge,65,"As President, I'll make fighting discrimination against the LGBT community a top priority-including by working with Congress to pass the Equality Act,"" [Hillary Rodham Clinton] said. ""And we won't stop there. We'll also take on harassment, bullying, and violence-and youth homelessness, which disproportionately hurts LGBT kids.",Newspapers,"Simonette, Matt;Hammond, Gretchen Rachel",News,7,"Chicago, Ill.","Nov 9, 2016",Windy City Times,2016,32
67. Love and violence in Black LGBTQ communities,TRUE,Love and violence in Black LGBTQ communities,66,"EH: I would and I have. [Andy Kirchoff] has to make me look like I'm not my own person. I did not get into office very easily and it wasn't through the help of [Madigan]. The first time I threw in my hat was in 2002 and there was no incumbent. I saw an opportunity for change, however I didn't win even on the second time because I was working against a very hard machine. I am not a Madigan follower.",Newspapers,"Hammond, Gretchen Rachel",Interview,5,"Chicago, Ill.","Oct 26, 2016",Windy City Times,2016,32
"68. Sarah Schulman discusses queer culture, 'Conflict'",TRUE,"Sarah Schulman discusses queer culture, 'Conflict'",67,"The 2014 Advocate article ""2 Studies That Prove Domestic Violence is an LGBT issue"" reports that ""21.5 percent of men and 35.4 percent of women living with a same-sex partner experienced intimate-partner physical violence in their lifetimes. ...",Newspapers,"Monroe, Irene",Commentary,5,"Chicago, Ill.","Oct 26, 2016",Windy City Times,2016,32
69. MAP report shows shocking disparities in the bisexual community,TRUE,MAP report shows shocking disparities in the bisexual community,68,"Sarah Schulman describes herself, and her work, as unorthodox. ""I mean, this has been one of the problems my whole life. I don't write books that take an already established position in an argument,"" said Schulman. ""All of my books initiate a new frame. This is true of my book on familial homophobia, of my book on gentrification, of my book about the Palestinian Queer movement.",Newspapers,"Baudler, Liz",News,4,"Chicago, Ill.","Oct 19, 2016",Windy City Times,2016,32
70. Dawn Valenti: A Chicago survivor's story,TRUE,Dawn Valenti: A Chicago survivor's story,69,"There's almost like a double-closeting effect,"" she added. ""It's difficult to be out as bisexual when you have so much judgment about bisexual people, not just from the heterosexual community, but from the gay and lesbian community. If a woman is bisexual, lesbians look at her like she is less legitimate.",Newspapers,"Hammond, Gretchen Rachel",News,3,"Chicago, Ill.","Oct 12, 2016",Windy City Times,2016,32
"71. Rita Adair talks activism, upcoming book, social work",TRUE,"Rita Adair talks activism, upcoming book, social work",70,"I don't, I don't, I don't,"" she repeated emphatically. ""Because I have to be their strength. I can't break down. But there's times when I leave the family and I'm in my car down the street and I break down or I go home and I just shut it down. To hear a woman say 'I thought giving birth was the worst thing I had to do' after she walks out of the medical examiner's office identifying her son is hard for me.",Newspapers,"Hammond, Gretchen Rachel",Feature,3,"Chicago, Ill.","Oct 12, 2016",Windy City Times,2016,32
"72. Activist Rachel Williams talks #SayHerName, BYP100, intersectionality",TRUE,"Activist Rachel Williams talks #SayHerName, BYP100, intersectionality",71,"To join WACT, visit https://www.facebook. com/groups/152344554812622/. More info about Lez In Color is at https://www.facebook.com/groups/LezInColor/.",Newspapers,"Maxwell, Carrie",Feature,43,"Chicago, Ill.","Jul 20, 2016",Windy City Times,2016,31
73. Chicago's Latino community stands with the LGBTQ Latino community,TRUE,Chicago's Latino community stands with the LGBTQ Latino community,72,"""I don't have plans to finish my degree at this point of my life,"" said [Rachel Williams]. ""Maybe one day when or if college education doesn't equal debt and having to hold off building a family because of the debt that you acquired trying to subscribe to a fake-ass American dream. Plus a degree shouldn't define your intelligence or worth in a capitalistic society.""",Newspapers,"Maxwell, Carrie",News,43,"Chicago, Ill.","Jul 20, 2016",Windy City Times,2016,31
74. Making sense of senseless acts,TRUE,Making sense of senseless acts,73,"Even though this weekend's violent shooting was perhaps the most devastating, it was not an isolated event-violence towards the LGBTQ community is rampant. LGBTQ people are twice as likely to be victims of hate crimes, compared to other marginalized communities. For LGBTQ Latinos who experience racism, homophobia, and transphobia, the violence is far too common.",Newspapers,Anonymous,Feature,39,"Chicago, Ill.","Jun 22, 2016",Windy City Times,2016,31
